Country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year
Nepal,26.18,3.79,15.53,24.61,18.1,19.97,2022 (mid)
Kyrgyzstan,25.83,7.63,17.17,25.43,21.08,23.94,2022 (mid)
Syria,25.82,4.44,15.65,23.66,18.27,5.72,2022 (mid)
Tunisia,25.48,4.89,15.69,24.91,14.13,28.62,2022 (mid)
Colombia,25.23,7.82,16.95,22.98,18.3,28.27,2022 (mid)
Kosovo (Disputed Territory),25.23,6.85,16.49,23.5,15.92,38.91,2022 (mid)
Algeria,25.08,3.84,14.98,27.36,12.5,25.42,2022 (mid)
Libya,24.6,5.05,15.3,24.87,19.73,30.05,2022 (mid)
India,23.89,6.15,15.45,25.56,16.44,76.44,2022 (mid)
Sri Lanka,22.41,5.66,14.45,26.85,10.97,15.28,2022 (mid)
Pakistan,17.78,3.43,10.95,15.77,13.55,24.45,2022 (mid)
Bermuda,146.04,98.58,123.8,148.66,159.17,81.07,2022
Switzerland,123.35,53.54,90.62,128.13,122.09,118.44,2022
Norway,100.9,34.68,69.86,97.31,105.49,83.11,2022
Iceland,94.86,41.93,70.05,90.22,99.42,77.06,2022
Barbados,92.37,21.99,59.38,87.81,78.18,32.08,2022
Jersey,92.02,65.33,79.51,76.88,94.65,79.14,2022
Israel,88.05,33.94,62.69,76.72,95.31,75.58,2022
Denmark,84.12,33.23,60.26,68.6,98.75,99.45,2022
Bahamas,84,35.34,61.19,70.59,89.09,45.07,2022
Singapore,83.98,66.43,75.75,77.08,61.17,91.34,2022
Guernsey,83.59,54.02,69.73,76.76,89.98,71.57,2022
Hong Kong,80.71,74.57,77.83,84.72,58.58,65.74,2022
Luxembourg,80.5,60.09,70.93,74.75,88.79,98.84,2022
Australia,77.75,36.84,58.57,77.44,72.95,104.63,2022
Japan,77.03,25.86,53.04,81.31,45.4,87.11,2022
Ireland,76.05,42.08,60.13,62.1,80.4,82.27,2022
Netherlands,75.66,36.06,57.1,65.49,76.35,87.99,2022
New Zealand,74.52,34.44,55.73,72.04,70.05,83.63,2022
France,74.13,25.33,51.26,73.64,71.84,85.41,2022
South Korea,73.22,20.02,48.28,91.95,42.1,76.85,2022
Finland,73.2,25.95,51.05,65.16,77.65,91.02,2022
Belgium,72.61,25.79,50.67,63.32,78.63,79.72,2022
Sweden,71.74,25.86,50.23,65.78,72.61,98.14,2022
Austria,71.04,27.13,50.46,65.88,66.03,77.25,2022
Canada,70.22,34.33,53.4,70.01,67.86,87.98,2022
United States,70.13,42.07,56.98,70.37,70.07,106.34,2022
United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78,2022
Lebanon,69.62,24.81,48.61,66.83,54.25,35.12,2022
Malta,67.84,29.72,49.97,59.59,72.42,44.18,2022
Macao,66.81,43,55.65,67.9,51.32,69.27,2022
Puerto Rico,66.53,18.4,43.97,69.6,55.6,72.78,2022
Italy,66.47,20.55,44.95,57.95,70.58,61.74,2022
Seychelles,65.93,32.35,50.19,61.55,77.01,19.43,2022
Germany,65.58,27.62,47.78,52.31,60.91,103.08,2022
Qatar,62.81,48.2,55.96,54.97,63.01,93.67,2022
Taiwan,62.35,17.69,41.42,76.19,29.42,58.35,2022
Cyprus,59.03,22.36,41.84,49.2,61.15,57.31,2022
United Arab Emirates,58.33,43.28,51.28,46.67,61.53,92.17,2022
Palestine,58.11,11.01,36.03,51.23,44.58,39.84,2022
Maldives,57.66,30.2,44.78,56.6,34.72,28.59,2022
Greece,56.22,12.68,35.81,44.73,52.19,39.73,2022
Cuba,55,15.23,36.36,47.93,33.54,1.45,2022
Trinidad And Tobago,54.88,15.97,36.64,53.96,53.74,38.47,2022
Bahrain,54.77,29.22,42.79,44.59,48.94,61.41,2022
Slovenia,53.88,17.9,37.01,47.71,46.74,59.48,2022
Spain,53.88,21.25,38.58,45.69,53.96,70.04,2022
Estonia,53.68,16.37,36.19,42.29,56.43,63.46,2022
Yemen,53.14,6.71,31.38,67.12,24.74,14.41,2022
Uruguay,52.07,13.93,34.19,44.01,49.39,30.07,2022
Suriname,51.78,9.71,32.06,45.92,79.61,13.44,2022
Panama,51.43,21.75,37.51,52.16,43.38,33.09,2022
Belize,51.3,11.64,32.71,48.76,36.6,45.73,2022
Saudi Arabia,50.41,11.67,32.25,42.57,35.5,91.85,2022
Senegal,50.25,22.97,37.46,42.17,46.22,23.45,2022
Jamaica,49.67,15.1,33.46,53.41,35.04,30.25,2022
Oman,49.42,16.77,34.11,46.51,43.24,84.24,2022
Jordan,49.19,9.23,30.46,40.81,41.16,31.34,2022
Cambodia,49.11,15.68,33.44,50.61,22.9,13.32,2022
Croatia,48.94,13.38,32.27,41.98,41.29,47.55,2022
Kuwait,48.68,31.31,40.54,35.63,47.48,78.57,2022
Latvia,48.45,11.77,31.26,38.37,42.1,51.65,2022
Libya,48.35,12.89,31.73,54.03,34.1,33.25,2022
Czech Republic,48.24,18.4,34.25,42.76,36.72,66.47,2022
Portugal,47.94,20.73,35.19,39.01,40.26,46.8,2022
Ethiopia,47.49,16.88,33.14,36.68,18.03,10.15,2022
Ivory Coast,47.03,17.68,33.27,40.22,31.99,6.92,2022
Costa Rica,47.01,14.7,31.87,45.54,41.69,39.88,2022
Zimbabwe,45.68,8.75,28.37,39.88,38.13,19.07,2022
Lithuania,45.65,15.01,31.29,36.18,46.64,58.74,2022
Slovakia,44.68,16.11,31.29,39.74,36.08,54.7,2022
El Salvador,44.37,13.19,29.75,44.32,35.47,21.17,2022
